card,city,date,event,fightRound,fighterOne,fighterOneUrl,fighterTwo,fighterTwoUrl,method,notes,result,roundTime,weightclass,,,,,,,,,,,,,
,"Temecula, California","September 13, 2013",Bellator 99,1,Blagoi Ivanov,/wiki/Blagoi_Ivanov,Manny Lara,N/A,Submission (guillotine choke),,def.,01:17,Heavyweight,,,,,,,,,,,,,
,"Temecula, California","September 13, 2013",Bellator 99,1,Goiti Yamauchi,/wiki/Goiti_Yamauchi,Musa Toliver,N/A,Submission (rear naked choke),,def.,01:01,Featherweight,,,,,,,,,,,,,
,"Temecula, California","September 13, 2013",Bellator 99,3,Gavin Sterritt,N/A,Andy Murad,/wiki/Andy_Murad,"Split decision (29-28, 28-29, 29-28)",,def.,05:00,Welterweight,,,,,,,,,,,,,
,"Temecula, California","September 13, 2013",Bellator 99,3,Hector Ramirez,/wiki/Hector_Ramirez_(fighter),Savo Kosic,N/A,"Unanimous decision (30-27, 30-27, 30-27)",,def.,05:00,Light Heavyweight,,,,,,,,,,,,,
,"Temecula, California","September 13, 2013",Bellator 99,1,Virgil Zwicker,/wiki/Virgil_Zwicker,Nick Moghaddan,N/A,TKO (punches),,def.,03:22,Light Heavyweight,,,,,,,,,,,,,
,"Phoenix, Arizona","September 20, 2013",Bellator 100,2,Douglas Lima,/wiki/Douglas_Lima,Ben Saunders,/wiki/Ben_Saunders_(fighter),KO (head kick),,def.,04:33,Welterweight,,,,,,,,,,,,,
,"Phoenix, Arizona","September 20, 2013",Bellator 100,2,War Machine,/wiki/War_Machine_(mixed_martial_artist),Vaughn Anderson,N/A,Technical Submission (rear naked choke),,def.,04:01,Welterweight,,,,,,,,,,,,,
,"Phoenix, Arizona","September 20, 2013",Bellator 100,3,Rick Hawn,/wiki/Rick_Hawn,Herman Terrado,/wiki/Herman_Terrado,"Unanimous decision (30-27, 29-28, 29-28)",,def.,05:00,Welterweight,,,,,,,,,,,,,
,"Phoenix, Arizona","September 20, 2013",Bellator 100,3,Ron Keslar,/wiki/Ron_Keslar,Luis Melo,N/A,"Split decision (29-28, 28-29, 29-28)",,def.,05:00,Welterweight,,,,,,,,,,,,,
,"Phoenix, Arizona","September 20, 2013",Bellator 100,1,Brent Weedman,/wiki/Brent_Weedman,Justin Baesman,/wiki/Justin_Baesman,Submission (armbar),,def.,03:20,Welterweight,,,,,,,,,,,,,
,"Phoenix, Arizona","September 20, 2013",Bellator 100,2,Travis Marx,/wiki/Travis_Marx,Brandon Bender,/wiki/Brandon_Bender,TKO (strikes),,def.,04:28,Bantamweight,,,,,,,,,,,,,
,"Phoenix, Arizona","September 20, 2013",Bellator 100,3,LaRue Burley,/wiki/LaRue_Burley,Bubba Jenkins,/wiki/Bubba_Jenkins,TKO (punches),,def.,03:40,Lightweight,,,,,,,,,,,,,
,"Phoenix, Arizona","September 20, 2013",Bellator 100,3,Clifford Starks,/wiki/Clifford_Starks,Joe Yager,N/A,"Unanimous decision (29-28, 30-27, 30-27)",,def.,05:00,Light Heavyweight,,,,,,,,,,,,,
,"Phoenix, Arizona","September 20, 2013",Bellator 100,1,Liam McGeary,/wiki/Liam_McGeary,Beau Tribolet,N/A,KO (punches),,def.,00:27,Light Heavyweight,,,,,,,,,,,,,
,"Phoenix, Arizona","September 20, 2013",Bellator 100,3,Siala-Mou Siliga,/wiki/Mighty_Mo_(kickboxer),Dan Charles,/wiki/Dan_Charles_(fighter),TKO (punches),,def.,01:26,Heavyweight,,,,,,,,,,,,,
,"Phoenix, Arizona","September 20, 2013",Bellator 100,1,Adam McDonough,/wiki/Adam_McDonough,Johnny Buck,N/A,TKO (strikes),,def.,04:51,Welterweight,,,,,,,,,,,,,
,"Phoenix, Arizona","September 20, 2013",Bellator 100,3,Efrain Escudero,/wiki/Efrain_Escudero,Zack Surdyka,N/A,Unanimous decision,,def.,05:00,Lightweight,,,,,,,,,,,,,
,"Portland, Oregon","September 27, 2013",Bellator 101,2,Joe Warren,/wiki/Joe_Warren_(fighter),Nick Kirk,N/A,Submission (reverse triangle armbar),,def.,03:03,Bantamweight,,,,,,,,,,,,,
,"Portland, Oregon","September 27, 2013",Bellator 101,1,Alexander Sarnavskiy,/wiki/Alexander_Sarnavskiy,Marcus Davis,/wiki/Marcus_Davis,Submission (rear naked choke),,def.,01:40,Lightweight,,,,,,,,,,,,,
,"Portland, Oregon","September 27, 2013",Bellator 101,3,Ricardo Tirloni,/wiki/Ricardo_Tirloni,Rich Clementi,/wiki/Rich_Clementi,"Unanimous decision (30-26, 30-27, 30-27)",,def.,05:00,Lightweight,,,,,,,,,,,,,
,"Portland, Oregon","September 27, 2013",Bellator 101,3,Will Brooks,/wiki/Will_Brooks_(fighter),John Alessio,/wiki/John_Alessio,"Unanimous decision (30-26, 30-27, 30-25)",,def.,05:00,Lightweight,,,,,,,,,,,,,
,"Portland, Oregon","September 27, 2013",Bellator 101,1,Saad Awad,/wiki/Saad_Awad,Martin Stapleton,/wiki/Martin_Stapleton,Submission (rear naked choke),,def.,03:46,Lightweight,,,,,,,,,,,,,
,"Portland, Oregon","September 27, 2013",Bellator 101,3,Nathan Coy,/wiki/Nathan_Coy,Andy Uhrich,/wiki/Andy_Uhrich,"Unanimous decision (29-28, 29-28, 29-28)",,def.,05:00,Welterweight,,,,,,,,,,,,,
,"Portland, Oregon","September 27, 2013",Bellator 101,1,Marcin Held,/wiki/Marcin_Held,Ryan Healy,/wiki/Ryan_Healy,KO (punches),,def.,01:12,Lightweight,,,,,,,,,,,,,
,"Portland, Oregon","September 27, 2013",Bellator 101,3,Dave Vitkay,/wiki/Dave_Vitkay,Tyson Jeffries,N/A,Submission (rear naked choke),,def.,03:07,Middleweight,,,,,,,,,,,,,
,"Portland, Oregon","September 27, 2013",Bellator 101,1,Brent Primus,/wiki/Brent_Primus,Scott Thometz,N/A,Submission (rear naked choke),,def.,03:48,Lightweight,,,,,,,,,,,,,
,"Portland, Oregon","September 27, 2013",Bellator 101,3,Austin Springer,N/A,Zack Skinner,N/A,"Unanimous decision (30-26, 29-28, 29-28)",,def.,05:00,Bantamweight,,,,,,,,,,,,,
,"Portland, Oregon","September 27, 2013",Bellator 101,3,Peter Aspenwal,N/A,Jeremiah Riggs,/wiki/Jeremiah_Riggs,"Split decision (29-28, 28-29, 29-28)",,def.,05:00,Middleweight,,,,,,,,,,,,,
,"Visalia, California","October 4, 2013",Bellator 102,2,Cheick Kongo,/wiki/Cheick_Kongo,Mark Godbeer,N/A,TKO (knees and punches),,def.,02:04,Heavyweight,,,,,,,,,,,,,
,"Visalia, California","October 4, 2013",Bellator 102,1,Vinicius Queiroz,/wiki/Vinicius_Queiroz,Lavar Johnson,/wiki/Lavar_Johnson,KO (punch),,def.,00:23,Heavyweight,,,,,,,,,,,,,
,"Visalia, California","October 4, 2013",Bellator 102,3,Rafael Silva,/wiki/Rafael_Silva_(fighter),Anthony Leone,/wiki/Anthony_Leone,"Unanimous decision (30-27, 30-27, 30-27)",,def.,05:00,Bantamweight,,,,,,,,,,,,,
,"Visalia, California","October 4, 2013",Bellator 102,3,Mikkel Parlo,/wiki/Mikkel_Parlo,Jason Butcher,/wiki/Jason_Butcher,"Unanimous decision (30-27, 29-28, 29-28)",,def.,05:00,Middleweight,,,,,,,,,,,,,
,"Visalia, California","October 4, 2013",Bellator 102,2,Brennan Ward,/wiki/Brennan_Ward,Joe Pacheco,/wiki/Joe_Pacheco,Submission (guillotine choke),,def.,02:41,Middleweight,,,,,,,,,,,,,
,"Visalia, California","October 4, 2013",Bellator 102,2,Scott Cleve,/wiki/Scott_Cleve,Isaac DeJesus,N/A,TKO (strikes),,def.,03:14,Featherweight,,,,,,,,,,,,,
,"Visalia, California","October 4, 2013",Bellator 102,1,Javy Ayala,N/A,Thiago Santos,/wiki/Thiago_Santos_(fighter),KO (punches),,def.,05:00,Heavyweight,,,,,,,,,,,,,
,"Visalia, California","October 4, 2013",Bellator 102,1,Brandon Girtz,/wiki/Brandon_Girtz,Poppies Martinez,/wiki/Poppies_Martinez,Submission (armbar),,def.,01:20,Lightweight,,,,,,,,,,,,,
,"Visalia, California","October 4, 2013",Bellator 102,1,Stephen Martinez,N/A,Bryan Travers,N/A,Technical submission (guillotine choke),,def.,00:56,Catchweight (165åÊlbs.),,,,,,,,,,,,,
,"Visalia, California","October 4, 2013",Bellator 102,2,Cain Carrizosa,/wiki/Cain_Carrizosa,Juan Quesada,N/A,Submission (triangle choke),,def.,04:51,Lightweight,,,,,,,,,,,,,
,"Visalia, California","October 4, 2013",Bellator 102,2,Brandon Cash,N/A,William Richey,N/A,TKO (exhaustion),,def.,05:00,Heavyweight,,,,,,,,,,,,,
,"Mulvane, Kansas","October 11, 2013",Bellator 103,3,Patricio Freire,/wiki/Patricio_Freire,Fabricio Guerreiro,/wiki/Fabricio_Guerreiro,"Unanimous decision (30-27, 30-27, 30-27)",,def.,05:00,Featherweight,,,,,,,,,,,,,
,"Mulvane, Kansas","October 11, 2013",Bellator 103,3,Justin Wilcox,/wiki/Justin_Wilcox,Joe Taimanglo,/wiki/Joe_Taimanglo,"Unanimous decision (29-28, 30-27, 30-27)",,def.,05:00,Featherweight,,,,,,,,,,,,,
,"Mulvane, Kansas","October 11, 2013",Bellator 103,3,David Rickels,/wiki/David_Rickels,J.J. Ambrose,/wiki/J.J._Ambrose,TKO (punches),,def.,02:37,Lightweight,,,,,,,,,,,,,
,"Mulvane, Kansas","October 11, 2013",Bellator 103,1,Mikhail Zayats,/wiki/Mikhail_Zayats,Aaron Rosa,/wiki/Aaron_Rosa,Submission (kimura),,def.,00:47,Light Heavyweight,,,,,,,,,,,,,
,"Mulvane, Kansas","October 11, 2013",Bellator 103,1,Carlos Eduardo,/wiki/Carlos_Eduardo_(fighter),Wayman Carter,N/A,Submission (rear naked choke),,def.,02:06,Light Heavyweight,,,,,,,,,,,,,
,"Mulvane, Kansas","October 11, 2013",Bellator 103,3,Remy Bussieres,N/A,Blake Pool,N/A,"Unanimous decision (30-27, 29-28, 29-28)",,def.,05:00,Lightweight,,,,,,,,,,,,,
,"Mulvane, Kansas","October 11, 2013",Bellator 103,1,Maurice Jackson,N/A,Matt Uhde,N/A,TKO (cut),,def.,00:52,Heavyweight,,,,,,,,,,,,,
,"Mulvane, Kansas","October 11, 2013",Bellator 103,1,Donnie Bell,N/A,Marcio Navarro,/wiki/Marcio_Navarro,Submission (rear neck crank),,def.,02:06,Lightweight,,,,,,,,,,,,,
,"Mulvane, Kansas","October 11, 2013",Bellator 103,3,Jeimeson Saudino,N/A,Jesse Thornton,N/A,"Split decision (29-28, 28-29, 29-28)",,def.,05:00,Bantamweight,,,,,,,,,,,,,
,"Mulvane, Kansas","October 11, 2013",Bellator 103,1,Ricky Musgrave,N/A,Cody Carrillo,/wiki/Cody_Carrillo,Submission (kimura),,def.,02:59,Catchweight (150åÊlbs),,,,,,,,,,,,,
,"Cedar Rapids, Iowa","October 18, 2013",Bellator 104,3,Rick Hawn,/wiki/Rick_Hawn,Brent Weedman,/wiki/Brent_Weedman,"Unanimous decision (30-27, 30-27, 30-27)",,def.,05:00,Welterweight,,,,,,,,,,,,,
,"Cedar Rapids, Iowa","October 18, 2013",Bellator 104,1,Ron Keslar,/wiki/Ron_Keslar,War Machine,/wiki/War_Machine_(mixed_martial_artist),Technical Submission (rear naked choke),,def.,03:31,Welterweight,,,,,,,,,,,,,
,"Cedar Rapids, Iowa","October 18, 2013",Bellator 104,3,Kendall Grove,/wiki/Kendall_Grove,Joe Vedepo,/wiki/Joe_Vedepo,"Unanimous decision (29-28, 30-27, 30-27)",,def.,05:00,Middleweight,,,,,,,,,,,,,
,"Cedar Rapids, Iowa","October 18, 2013",Bellator 104,3,Peter Graham,/wiki/Peter_Graham_(kickboxer),Eric Prindle,/wiki/Eric_Prindle,"Unanimous decision (30-27, 30-27, 30-27)",,def.,05:00,Heavyweight,,,,,,,,,,,,,
,"Cedar Rapids, Iowa","October 18, 2013",Bellator 104,3,Paul Bradley,/wiki/Paul_Bradley_(fighter),Karl Amoussou,/wiki/Karl_Amoussou,"Unanimous decision (29-28, 29-28, 29-28)",,def.,05:00,Welterweight,,,,,,,,,,,,,
,"Cedar Rapids, Iowa","October 18, 2013",Bellator 104,1,Paul Sass,/wiki/Paul_Sass,Rod Montoya,N/A,Submission (toe hold),,def.,02:01,Lightweight,,,,,,,,,,,,,
,"Cedar Rapids, Iowa","October 18, 2013",Bellator 104,1,Rob Emerson,/wiki/Rob_Emerson,Jared Downing,/wiki/Jared_Downing,Submission (inverted heel hook),,def.,01:44,Catchweight (150åÊlbs),,,,,,,,,,,,,
,"Cedar Rapids, Iowa","October 18, 2013",Bellator 104,1,Brandon Girtz,/wiki/Brandon_Girtz,Mike Estus,N/A,Submission (armbar),,def.,04:25,Catchweight (160åÊlbs),,,,,,,,,,,,,
,"Cedar Rapids, Iowa","October 18, 2013",Bellator 104,2,Cliff Wright,/wiki/Cliff_Wright_(fighter),Derek Loffer,N/A,Submission (armbar),,def.,04:28,Catchweight (161åÊlbs),,,,,,,,,,,,,
,"Cedar Rapids, Iowa","October 18, 2013",Bellator 104,1,Andre Tieva,N/A,Chris Lane,N/A,TKO (punches),,def.,02:20,Featherweight,,,,,,,,,,,,,
,"Rio Rancho, New Mexico","October 25, 2013",Bellator 105,3,Will Brooks,/wiki/Will_Brooks_(fighter),Saad Awad,/wiki/Saad_Awad,"Unanimous decision (30-27, 30-27, 30-27)",,def.,05:00,Lightweight,,,,,,,,,,,,,
,"Rio Rancho, New Mexico","October 25, 2013",Bellator 105,1,Alexander Sarnavskiy,/wiki/Alexander_Sarnavskiy,Ricardo Tirloni,/wiki/Ricardo_Tirloni,Submission (triangle choke),,def.,01:08,Lightweight,,,,,,,,,,,,,
,"Rio Rancho, New Mexico","October 25, 2013",Bellator 105,1,Siala-Mou Siliga,/wiki/Siala-Mou_Siliga,Ron Sparks,/wiki/Ron_Sparks_(fighter),Submission (keylock),,def.,02:52,Heavyweight,,,,,,,,,,,,,
,"Rio Rancho, New Mexico","October 25, 2013",Bellator 105,2,Eugene Fadiora,N/A,Keith Berry,/wiki/Keith_Berry_(fighter),TKO (elbows),,def.,04:19,Middleweight,,,,,,,,,,,,,
,"Rio Rancho, New Mexico","October 25, 2013",Bellator 105,2,Desmond Green,/wiki/Desmond_Green,Angelo Sanchez,/wiki/Angelo_Sanchez,TKO (cut),,def.,01:04,Featherweight,,,,,,,,,,,,,
,"Rio Rancho, New Mexico","October 25, 2013",Bellator 105,1,Raphael Butler,/wiki/Raphael_Butler,Joseph Bryant,N/A,TKO (strikes),,def.,01:04,Heavyweight,,,,,,,,,,,,,
,"Rio Rancho, New Mexico","October 25, 2013",Bellator 105,1,Volkan Oezdemir,/wiki/Volkan_Oezdemir,Josh Lanier,N/A,TKO (strikes),,def.,03:13,Light Heavyweight,,,,,,,,,,,,,
,"Rio Rancho, New Mexico","October 25, 2013",Bellator 105,1,Luis Nogueira,/wiki/Luis_Nogueira,Frank Baca,N/A,Submission (arm triangle choke),,def.,04:41,Bantamweight,,,,,,,,,,,,,
,"Rio Rancho, New Mexico","October 25, 2013",Bellator 105,2,Eddie Larrea,N/A,Rocky Ramirez,N/A,Submission (heel hook),,def.,01:45,Middleweight,,,,,,,,,,,,,
,"Rio Rancho, New Mexico","October 25, 2013",Bellator 105,3,Steve Garcia,/wiki/Steve_Garcia,Shawn Bunch,/wiki/Shawn_Bunch,TKO (punches),,def.,03:29,Bantamweight,,,,,,,,,,,,,
,"Rio Rancho, New Mexico","October 25, 2013",Bellator 105,3,Jesse Brock,N/A,Adrian Cruz,N/A,Decision (unanimous),,def.,05:00,Bantamweight,,,,,,,,,,,,,
,"Long Beach, California","November 2, 2013",Bellator 106,5,Eddie Alvarez,/wiki/Eddie_Alvarez,Michael Chandler,/wiki/Michael_Chandler,"Split decision (48-47, 47-48, 48-47)",,def.,05:00,Lightweight,,,,,,,,,,,,,
,"Long Beach, California","November 2, 2013",Bellator 106,5,Emanuel Newton,/wiki/Emanuel_Newton,Muhammed Lawal,/wiki/Muhammed_Lawal,"Unanimous decision (49-46, 49-46, 49-46)",,def.,05:00,Light Heavyweight,,,,,,,,,,,,,
,"Long Beach, California","November 2, 2013",Bellator 106,5,Daniel Mason-Straus,/wiki/Daniel_Mason-Straus,Pat Curran,/wiki/Pat_Curran_(fighter),"Unanimous decision (49-45, 48-46, 48-46)",,def.,05:00,Featherweight,,,,,,,,,,,,,
,"Long Beach, California","November 2, 2013",Bellator 106,3,Joe Riggs,/wiki/Joe_Riggs,Mike Bronzoulis,/wiki/Mike_Bronzoulis,"Unanimous decision (30-27, 30-27, 30-27)",,def.,05:00,Welterweight,,,,,,,,,,,,,
,"Long Beach, California","November 2, 2013",Bellator 106,1,Mike Richman,/wiki/Mike_Richman,Akop Stepanyan,/wiki/Akop_Stepanyan,TKO (punches),,def.,04:05,Featherweight,,,,,,,,,,,,,
,"Long Beach, California","November 2, 2013",Bellator 106,3,Cristiano Souza,/wiki/Cristiano_Souza,Alejandro Garcia,N/A,Submission (rear naked choke),,def.,03:06,Welterweight,,,,,,,,,,,,,
,"Long Beach, California","November 2, 2013",Bellator 106,1,Brandon Halsey,/wiki/Brandon_Halsey,Hector Ramirez,/wiki/Hector_Ramirez_(fighter),TKO (punches),,def.,00:52,Light Heavyweight,,,,,,,,,,,,,
,"Long Beach, California","November 2, 2013",Bellator 106,2,Mike Guymon,/wiki/Mike_Guymon,Aaron Miller,/wiki/Aaron_Miller_(mixed_martial_artist),Submission (triangle choke),,def.,04:20,Lightweight,,,,,,,,,,,,,
,"Long Beach, California","November 2, 2013",Bellator 106,3,Cleber Luciano,/wiki/Cleber_Luciano,Joe Camacho,N/A,"Unanimous decision (30-27, 30-27, 30-27)",,def.,05:00,Catchweight (150 lbs),,,,,,,,,,,,,
,"Long Beach, California","November 2, 2013",Bellator 106,3,Josh Smith,N/A,Darren Smith,N/A,"Unanimous decision (29-28, 29-28, 29-28)",,def.,05:00,Lightweight,,,,,,,,,,,,,
,"Long Beach, California","November 2, 2013",Bellator 106,1,Jesse Juarez,/wiki/Jesse_Juarez,Joe Williams,/wiki/Joe_Williams_(fighter),Submission (guillotine choke),,def.,00:57,Welterweight,,,,,,,,,,,,,
,"Thackerville, Oklahoma","November 8, 2013",Bellator 107,3,Cheick Kongo,/wiki/Cheick_Kongo,Peter Graham,/wiki/Peter_Graham_(kickboxer),"Unanimous decision (30-27, 30-27, 30-27)",,def.,05:00,Heavyweight,,,,,,,,,,,,,
,"Thackerville, Oklahoma","November 8, 2013",Bellator 107,2,Joe Warren,/wiki/Joe_Warren_(fighter),Travis Marx,/wiki/Travis_Marx,TKO (knee and punches),,def.,01:54,Bantamweight,,,,,,,,,,,,,
,"Thackerville, Oklahoma","November 8, 2013",Bellator 107,2,Brennan Ward,/wiki/Brennan_Ward,Mikkel Parlo,/wiki/Mikkel_Parlo,TKO (punches),,def.,01:39,Middleweight,,,,,,,,,,,,,
,"Thackerville, Oklahoma","November 8, 2013",Bellator 107,3,Derek Campos,/wiki/Derek_Campos,Martin Stapleton,/wiki/Martin_Stapleton,"Unanimous decision (30-27, 30-27, 30-27)",,def.,05:00,Catchweight (157åÊlbs),,,,,,,,,,,,,
,"Thackerville, Oklahoma","November 8, 2013",Bellator 107,3,Patricky Freire,/wiki/Patricky_Freire,Edson Berto,N/A,"Unanimous decision (30-27, 29-28, 30-27)",,def.,05:00,Lightweight,,,,,,,,,,,,,
,"Thackerville, Oklahoma","November 8, 2013",Bellator 107,3,Jonas Billstein,/wiki/Jonas_Billstein,Cortez Coleman,/wiki/Cortez_Coleman,"Unanimous decision (30-27, 30-27, 30-27)",,def.,05:00,Middleweight,,,,,,,,,,,,,
,"Thackerville, Oklahoma","November 8, 2013",Bellator 107,3,Mike Mucitelli,/wiki/Mike_Mucitelli,Ryan McCurdy,N/A,"Unanimous decision (29-28, 29-28, 29-28)",,def.,05:00,Light Heavyweight,,,,,,,,,,,,,
,"Thackerville, Oklahoma","November 8, 2013",Bellator 107,1,Raphael Butler,/wiki/Raphael_Butler,Josh Burns,/wiki/Josh_Burns,Verbal submission (punches),,def.,02:14,Heavyweight,,,,,,,,,,,,,
,"Thackerville, Oklahoma","November 8, 2013",Bellator 107,3,Linton Vassell,/wiki/Linton_Vassell,Matt Jones,/wiki/Matt_Jones_(mixed_martial_artist),"Unanimous decision (30-27, 30-26, 30-26)",,def.,05:00,Light Heavyweight,,,,,,,,,,,,,
,"Thackerville, Oklahoma","November 8, 2013",Bellator 107,3,Chris Jones,N/A,Robert White,N/A,Unanimous decision,,def.,05:00,Catchweight (156åÊlbs),,,,,,,,,,,,,
,"Atlantic City, New Jersey","November 15, 2013",Bellator 108,1,Quinton Jackson,/wiki/Quinton_Jackson,Joey Beltran,/wiki/Joey_Beltran,TKO (punches),,def.,04:59,Catchweight (210åÊlbs),,,,,,,,,,,,,
,"Atlantic City, New Jersey","November 15, 2013",Bellator 108,1,Vitaly Minakov,/wiki/Vitaly_Minakov,Alexander Volkov,/wiki/Alexander_Volkov_(fighter),TKO (punches),,def.,02:57,Heavyweight,,,,,,,,,,,,,
,"Atlantic City, New Jersey","November 15, 2013",Bellator 108,1,Marcos Galvao,/wiki/Marcos_Galvao,Tom McKenna,N/A,TKO (punches),,def.,04:29,Bantamweight,,,,,,,,,,,,,
,"Atlantic City, New Jersey","November 15, 2013",Bellator 108,1,Patricio Freire,/wiki/Patricio_Freire,Justin Wilcox,/wiki/Justin_Wilcox,TKO (punches),,def.,02:23,Featherweight,,,,,,,,,,,,,
,"Atlantic City, New Jersey","November 15, 2013",Bellator 108,1,Sam Oropeza,/wiki/Sam_Oropeza,Chip Moraza-Pollard,N/A,TKO (punches),,def.,00:37,Catchweight (174åÊlbs),,,,,,,,,,,,,
,"Atlantic City, New Jersey","November 15, 2013",Bellator 108,1,Tom DeBlass,/wiki/Tom_DeBlass,Jason Lambert,/wiki/Jason_Lambert,KO (punch),,def.,01:45,Light Heavyweight,,,,,,,,,,,,,
,"Atlantic City, New Jersey","November 15, 2013",Bellator 108,3,Nah-Shon Burrell,/wiki/Nah-Shon_Burrell,Jesus Martinez,/wiki/Jesus_Martinez_(fighter),"Unanimous decision (29-28, 30-27, 30-27)",,def.,05:00,Catchweight (180åÊlbs),,,,,,,,,,,,,
,"Atlantic City, New Jersey","November 15, 2013",Bellator 108,3,Anthony Morrison,/wiki/Anthony_Morrison,Kenny Foster,/wiki/Kenny_Foster,"Majority decision (28-28, 29-27, 30-26)",,def.,05:00,Lightweight,,,,,,,,,,,,,
,"Atlantic City, New Jersey","November 15, 2013",Bellator 108,1,Liam McGeary,/wiki/Liam_McGeary,Najim Wali,N/A,Submission (armbar),,def.,01:31,Light Heavyweight,,,,,,,,,,,,,
,"Atlantic City, New Jersey","November 15, 2013",Bellator 108,1,Will Martinez,/wiki/Will_Martinez,Kevin Roddy,/wiki/Kevin_Roddy,Submission (rear naked choke),,def.,03:50,Featherweight,,,,,,,,,,,,,
,"Atlantic City, New Jersey","November 15, 2013",Bellator 108,2,Dan Matala,N/A,Ryan Cafaro,N/A,TKO (strikes),,def.,03:52,Featherweight,,,,,,,,,,,,,
,"Atlantic City, New Jersey","November 15, 2013",Bellator 108,3,Rob Sullivan,N/A,Sergio da Silva,N/A,"Unanimous decision (29-28, 30-27, 30-27)",,def.,05:00,Bantamweight,,,,,,,,,,,,,
,"Bethlehem, Pennsylvania","November 22, 2013",Bellator 109,1,Alexander Shlemenko,/wiki/Alexander_Shlemenko,Doug Marshall,/wiki/Doug_Marshall,KO (punch to the body),,def.,04:28,Middleweight,,,,,,,,,,,,,
,"Bethlehem, Pennsylvania","November 22, 2013",Bellator 109,3,Rick Hawn,/wiki/Rick_Hawn,Ron Keslar,/wiki/Ron_Keslar,KO (punch),,def.,00:55,Welterweight,,,,,,,,,,,,,
,"Bethlehem, Pennsylvania","November 22, 2013",Bellator 109,3,Will Brooks,/wiki/Will_Brooks,Alexander Sarnavskiy,/wiki/Alexander_Sarnavskiy,"Unanimous decision (30-26, 30-27, 30-27)",,def.,05:00,Lightweight,,,,,,,,,,,,,
,"Bethlehem, Pennsylvania","November 22, 2013",Bellator 109,3,Terry Etim,/wiki/Terry_Etim,Patrick Cenoble,N/A,"Unanimous decision (30-27, 29-28, 30-26)",,def.,05:00,Lightweight,,,,,,,,,,,,,
,"Bethlehem, Pennsylvania","November 22, 2013",Bellator 109,1,Mike Bannon,N/A,Ahsan Abdulla,N/A,Technical submission (arm triangle choke),,def.,01:51,Lightweight,,,,,,,,,,,,,
,"Bethlehem, Pennsylvania","November 22, 2013",Bellator 109,1,Blagoi Ivanov,/wiki/Blagoi_Ivanov,Keith Bell,N/A,Submission (rear naked choke),,def.,03:59,Heavyweight,,,,,,,,,,,,,
,"Bethlehem, Pennsylvania","November 22, 2013",Bellator 109,1,Goiti Yamauchi,/wiki/Goiti_Yamauchi,Saul Almeida,/wiki/Saul_Almeida,KO (punches),,def.,02:04,Catchweight (153åÊlbs),,,,,,,,,,,,,
,"Bethlehem, Pennsylvania","November 22, 2013",Bellator 109,3,Bubba Jenkins,/wiki/Bubba_Jenkins,Ian Rammel,N/A,TKO (punches),,def.,02:38,Lightweight,,,,,,,,,,,,,
,"Bethlehem, Pennsylvania","November 22, 2013",Bellator 109,1,Brent Primus,/wiki/Brent_Primus,Brett Glass,N/A,Submission (rear naked choke),,def.,03:20,Lightweight,,,,,,,,,,,,,
,"Bethlehem, Pennsylvania","November 22, 2013",Bellator 109,3,Lester Caslow,/wiki/Lester_Caslow,Jay Haas,/wiki/Jay_Haas_(mixed_martial_artist),Submission (guillotine choke),,def.,02:44,Featherweight,,,,,,,,,,,,,
,"Uncasville, Connecticut","February 28, 2014",Bellator 110,1,Quinton Jackson,/wiki/Quinton_Jackson,Christian M'Pumbu,/wiki/Christian_M%27Pumbu,KO (punches),,def.,04:34,Light Heavyweight,,,,,,,,,,,,,
,"Uncasville, Connecticut","February 28, 2014",Bellator 110,3,Muhammed Lawal,/wiki/Muhammed_Lawal,Mikhail Zayats,/wiki/Mikhail_Zayats,"Unanimous decision (30-27, 30-27, 30-27)",,def.,05:00,Light Heavyweight,,,,,,,,,,,,,
,"Uncasville, Connecticut","February 28, 2014",Bellator 110,3,Matt Bessette,/wiki/Matt_Bessette,Diego Nunes,/wiki/Diego_Nunes_(fighter),"Split decision (30-27, 29-28, 28-29)",,def.,05:00,Featherweight,,,,,,,,,,,,,
,"Uncasville, Connecticut","February 28, 2014",Bellator 110,3,Desmond Green,/wiki/Desmond_Green,Mike Richman,/wiki/Mike_Richman,"Unanimous decision (30-27, 29-28, 29-28)",,def.,05:00,Featherweight,,,,,,,,,,,,,
,"Uncasville, Connecticut","February 28, 2014",Bellator 110,3,Will Martinez,/wiki/Will_Martinez,Goiti Yamauchi,/wiki/Goiti_Yamauchi,"Unanimous decision (30-27, 30-27, 30-27)",,def.,05:00,Featherweight,,,,,,,,,,,,,
,"Uncasville, Connecticut","February 28, 2014",Bellator 110,1,Daniel Weichel,/wiki/Daniel_Weichel,Scott Cleve,/wiki/Scott_Cleve,Submission (rear naked choke),,def.,03:46,Featherweight,,,,,,,,,,,,,
,"Uncasville, Connecticut","February 28, 2014",Bellator 110,3,Saul Almeida,/wiki/Saul_Almeida,Andrew Fisher,N/A,"Unanimous decision (29-28, 29-28, 29-28)",,def.,05:00,Featherweight,,,,,,,,,,,,,
,"Uncasville, Connecticut","February 28, 2014",Bellator 110,1,Egidijus Valavi€çius,/wiki/Egidijus_Valavi%C4%8Dius,Atanas Djambazov,N/A,KO (knee and punch),,def.,00:48,Light Heavyweight,,,,,,,,,,,,,
